Pulsar,Model,Min freq (MHz),S150 (mJy),S300 (mJy),u_S150 (mJy),u_S300 (mJy)
J1707-4729,SPL,1278.75,48.48748736168096,19.492864931624965,31.34407945191661,8.657127482183755
J1708-3426,SPL,350.0,204.26822838758036,45.1830594805115,117.6894944941054,18.532013435508183
J1708-3827,SPL,1276.78,104.51886606285072,19.210430202907528,272.8655554791519,34.51961043840062
J1709-3626,SPL,1276.22,4.15541126033586,2.2554557108771296,9.19988234120266,3.428742074124662
J1709-4429,SPL,400.0,72.03119659774357,40.408998421460886,26.136608614597108,10.601395399344511
J1711-5350,SPL,400.0,68.40188085585116,17.21827999086388,38.04061049857722,6.574527114811843
J1715-3903,SPL,1360.0,3.5561025652916816,2.06052842190974,2.147255610429526,0.8965444609381008
J1715-4034,SPL,728.0,209.12690365012404,48.485990510771536,102.00895697759292,16.28489291037502
J1716-3720,SPL,1276.91,2155.5501423121104,149.73728719043478,4820.299832485229,229.48958129910773
J1717-3953,SPL,1277.7,2206.6664900870865,220.2371082139913,3032.0809641666647,207.38588866263967
J1717-4054,SPL,400.0,197.78754694235215,40.8527188275624,176.14061628967949,24.69606679918128
J1718-3718,SPL,1276.72,17487922.867374476,68312.19870068155,5809334.104739995,22692.711346640757
J1718-3825,SPL,1360.0,4.768899559524315,3.406180689939625,3.691081970020394,1.8491758724713432
J1719-4006,SPL,640.0,32.820356194371854,11.79389986054366,19.431385371529544,4.908586093330924
J1719-4302,SPL,1276.31,559.4146582693626,58.26781517372076,1333.1901701220354,95.31026593233744
J1721-3532,HFCO,1360.0,83.81264421408478,49.95017009719289,34.795186515232366,14.891550337424375
J1722-3632,SPL,640.0,28.5158708221259,13.908004783751805,26.25574265584772,8.78458860841727
J1722-3712,SPL,350.0,175.36291778889031,50.894971586442175,43.9224879242456,8.344484599476857
J1723-3659,HFCO,325.0,2.988758973866792,2.872809310724413,0.2042339872790371,0.1918219407080222
J1724-3149,SPL,1278.09,15.218809324321922,4.969652656815839,41.400439926925856,9.295245051148717
J1725-3546,SPL,1276.62,5391.895264247149,337.89939714003145,10199.065938331316,439.39698546699447
J1726-3530,SPL,1360.0,2.718753085858825,1.4564422079351522,3.7193221083622783,1.3834584891267812
J1727-2739,BPL,350.0,4.4999872908283765,5.4630952979706775,3.103116716293888,1.557978195082301
J1728-4028,SPL,1277.69,414.9117320967927,61.629913116431126,565.9677461854326,57.64526571036586
J1730-3350,SPL,1360.0,140.18606903343257,44.61371007670213,90.37650384268323,21.030442273505358
J1730-3353,SPL,1278.02,3644.818711634335,209.5328149268532,9165.72227674697,361.1178118003891
J1732-4128,SPL,400.0,72.77919715614101,19.284633049266517,43.89494856964263,7.997455163119404
J1733-2228,HFCO,350.0,28.502836559840816,25.512953197483377,3.084637574510915,2.705060536280007
J1733-3322,SPL,1342.75,279.776812035869,50.24052326733216,623.9652333397817,77.3209847545664
J1733-3716,SPL,640.0,12.778894130258577,8.503263166865745,6.755527587383194,3.177806195928089
J1733-4005,SPL,1276.84,942.3902697810594,95.27591450139684,1112.5025116056763,77.1514528512506
J1734-3333,SPL,1360.0,2.214857783882971,1.439840709858497,1.0961675043215573,0.545791459053227
J1736-2457,HFCO,350.0,8.06111379638096,5.462922611720896,4.609582724225733,2.022956506589509
J1736-2843,SPL,1277.32,457.5727585939106,50.14696027947776,844.9052734868854,63.53814485457521
J1737-3102,SPL,1275.83,139.10186459427726,25.5140035189773,230.96697867181436,29.09779712571255
J1737-3137,SPL,1278.5,84.77665729633736,21.15777495809486,34.229551044248936,5.965737365917103
